wasted_computation_no_offload,wasted_computation_offload,charge_rate,discharge_rate,AI_computation,offload,no_offload,best_offload
394246,235902,0.004827586206896552,0.010206896551724139,0.012,134154,85764,144495.4128440367
402922,236406,0.004827586206896552,0.010206896551724139,0.015,132352,77082,144495.4128440367
372004,234545,0.004827586206896552,0.010620689655172414,0.006,137840,108006,140625.00000000003
385265,247761,0.004827586206896552,0.010620689655172414,0.009,131719,94739,140625.00000000003
395669,255520,0.004827586206896552,0.010620689655172414,0.012,126910,84338,140625.00000000003
403773,251134,0.004827586206896552,0.010620689655172414,0.015,126380,76237,140625.00000000003
374106,264496,0.004827586206896552,0.011034482758620689,0.006,129560,105898,136956.52173913043
386724,265537,0.004827586206896552,0.011034482758620689,0.009,125207,93283,136956.52173913043
396900,266618,0.004827586206896552,0.011034482758620689,0.012,122342,83102,136956.52173913043
404826,255192,0.004827586206896552,0.011034482758620689,0.015,123934,75177,136956.52173913043
375938,273182,0.004827586206896552,0.011448275862068966,0.006,125879,104062,133474.57627118647
388235,276482,0.004827586206896552,0.011448275862068966,0.009,121051,91774,133474.57627118647
397971,257826,0.004827586206896552,0.011448275862068966,0.012,123661,82038,133474.57627118647
405831,260662,0.004827586206896552,0.011448275862068966,0.015,121039,74178,133474.57627118647
377717,279685,0.004827586206896552,0.01186206896551724,0.006,122530,102289,130165.28925619833
389662,284001,0.004827586206896552,0.01186206896551724,0.009,117452,90343,130165.28925619833
399305,259298,0.004827586206896552,0.01186206896551724,0.012,121905,80705,130165.28925619833
406831,257198,0.004827586206896552,0.01186206896551724,0.015,121086,73177,130165.28925619833
379621,288131,0.004827586206896552,0.012275862068965518,0.006,119192,100386,127016.12903225805
391184,272275,0.004827586206896552,0.012275862068965518,0.009,119090,88816,127016.12903225805
400429,278039,0.004827586206896552,0.012275862068965518,0.012,115225,79573,127016.12903225805
407809,274300,0.004827586206896552,0.012275862068965518,0.015,114485,72201,127016.12903225805
381436,298767,0.004827586206896552,0.012689655172413793,0.006,115418,98574,124015.74803149607
