charge_rate,discharge_rate,AI_computation,offload,no_offload,best_offload
0.001,0.010058823529411762,0.004999999999999999,26303,18662,27127.65957446809
0.001,0.010058823529411762,0.005999999999999999,27091,17692,27127.65957446809
0.001,0.010058823529411762,0.006999999999999998,26936,16486,27127.65957446809
0.001,0.010058823529411762,0.007999999999999998,26362,15615,27127.65957446809
0.001,0.010058823529411762,0.008999999999999998,26171,14929,27127.65957446809
0.001,0.010058823529411762,0.009999999999999998,26463,14403,27127.65957446809
0.001,0.010058823529411762,0.011,25848,13763,27127.65957446809
0.001,0.010058823529411762,0.011999999999999997,25655,13130,27127.65957446809
0.001,0.010058823529411762,0.012999999999999998,25905,12440,27127.65957446809
0.001,0.010058823529411762,0.013999999999999999,25527,11987,27127.65957446809
0.001,0.010058823529411762,0.015,25447,11596,27127.65957446809
0.001,0.010470588235294117,0.001,26397,24254,26153.846153846163
0.001,0.010470588235294117,0.002,26276,22412,26153.846153846163
0.001,0.010470588235294117,0.0029999999999999996,26235,20841,26153.846153846163
0.001,0.010470588235294117,0.003999999999999999,25848,19523,26153.846153846163
0.001,0.010470588235294117,0.004999999999999999,25928,18324,26153.846153846163
0.001,0.010470588235294117,0.005999999999999999,25938,17107,26153.846153846163
0.001,0.010470588235294117,0.006999999999999998,25829,16173,26153.846153846163
0.001,0.010470588235294117,0.007999999999999998,25913,15244,26153.846153846163
0.001,0.010470588235294117,0.008999999999999998,25881,14616,26153.846153846163
0.001,0.010470588235294117,0.009999999999999998,25332,13875,26153.846153846163
0.001,0.010470588235294117,0.011,26217,13485,26153.846153846163
0.001,0.010470588235294117,0.011999999999999997,25952,12748,26153.846153846163
0.001,0.010470588235294117,0.012999999999999998,24700,12130,26153.846153846163
0.001,0.010470588235294117,0.013999999999999999,25778,11881,26153.846153846163
0.001,0.010470588235294117,0.015,25930,11300,26153.846153846163
0.001,0.010882352941176471,0.001,25377,23349,25247.52475247525
0.001,0.010882352941176471,0.002,25251,21736,25247.52475247525
0.001,0.010882352941176471,0.0029999999999999996,24827,20216,25247.52475247525
0.001,0.010882352941176471,0.003999999999999999,24609,18972,25247.52475247525
0.001,0.010882352941176471,0.004999999999999999,24362,17729,25247.52475247525
0.001,0.010882352941176471,0.005999999999999999,24343,16793,25247.52475247525
0.001,0.010882352941176471,0.006999999999999998,24160,15862,25247.52475247525
0.001,0.010882352941176471,0.007999999999999998,24288,14933,25247.52475247525
0.001,0.010882352941176471,0.008999999999999998,24313,14306,25247.52475247525
0.001,0.010882352941176471,0.009999999999999998,23857,13684,25247.52475247525
0.001,0.010882352941176471,0.011,24430,13060,25247.52475247525
0.001,0.010882352941176471,0.011999999999999997,23846,12442,25247.52475247525
0.001,0.010882352941176471,0.012999999999999998,23748,12167,25247.52475247525
0.001,0.010882352941176471,0.013999999999999999,23743,11507,25247.52475247525
0.001,0.010882352941176471,0.015,23532,11265,25247.52475247525
0.001,0.011294117647058823,0.001,24446,22718,24401.913875598093
0.001,0.011294117647058823,0.002,24114,21115,24401.913875598093
0.001,0.011294117647058823,0.0029999999999999996,23918,19743,24401.913875598093
0.001,0.011294117647058823,0.003999999999999999,23831,18353,24401.913875598093
0.001,0.011294117647058823,0.004999999999999999,23551,17417,24401.913875598093
0.001,0.011294117647058823,0.005999999999999999,23365,16482,24401.913875598093
0.001,0.011294117647058823,0.006999999999999998,23324,15549,24401.913875598093
0.001,0.011294117647058823,0.007999999999999998,23184,14641,24401.913875598093
0.001,0.011294117647058823,0.008999999999999998,23495,13996,24401.913875598093
0.001,0.011294117647058823,0.009999999999999998,23352,13374,24401.913875598093
0.001,0.011294117647058823,0.011,23105,12752,24401.913875598093
0.001,0.011294117647058823,0.011999999999999997,23175,12482,24401.913875598093
0.001,0.011294117647058823,0.012999999999999998,23015,11817,24401.913875598093
0.001,0.011294117647058823,0.013999999999999999,23098,11522,24401.913875598093
0.001,0.011294117647058823,0.015,23024,10884,24401.913875598093
0.001,0.011705882352941177,0.001,23601,22021,23611.111111111113
0.001,0.011705882352941177,0.002,23594,20520,23611.111111111113
0.001,0.011705882352941177,0.0029999999999999996,22933,19220,23611.111111111113
0.001,0.011705882352941177,0.003999999999999999,22860,18039,23611.111111111113
0.001,0.011705882352941177,0.004999999999999999,22804,16798,23611.111111111113
0.001,0.011705882352941177,0.005999999999999999,22810,15871,23611.111111111113
0.001,0.011705882352941177,0.006999999999999998,22579,15239,23611.111111111113
0.001,0.011705882352941177,0.007999999999999998,22404,14433,23611.111111111113
0.001,0.011705882352941177,0.008999999999999998,22379,13686,23611.111111111113
0.001,0.011705882352941177,0.009999999999999998,22155,13094,23611.111111111113
0.001,0.011705882352941177,0.011,22157,12802,23611.111111111113
